"unid","title","machine_name","brand_banner","brand_image","brand_image_position","logo","jmc_logo","main_menu","submenu","hide_search","content_compliance","path","display_restriction","is_section","general_tags","meta_description","theme"
"27","meded2","meded","","","","1","1","minisite","0","0","201","test","Level 1,ea-8888","1","","",""
"28","Xeplion","xeplion","","","","","0","minisite","0","0","201","test","Level 1","1","","",""
"29","Imbruvica","imbruvica","","","","","0","minisite","0","0","201","Imbruvica","Level 1","1","","",""
